# https://gcn.gsfc.nasa.gov/amon_icecube_gold_bronze_events.html
RunNum_EventNum	Rev	Date	Time_UT	NoticeType	RA 	Dec 	Error90_arcmin	Error50_arcmin	Energy	Signalness	FAR	Comments
135302_36915486	0	21/05/19	20:40:02.93	BRONZE	167.6902	-25.8725	129.06	36.18	3.2004e+02	3.3167e-01	0.9669	IceCube Bronze event. The position error is statistical only, there is no systematic added.
135292_56063172	1	21/05/16	14:38:20.33	BRONZE	91.7600	+9.5199	46.80	25.79	1.0912e+02	2.8860e-01	3.0988	IceCube Bronze event. The position error is statistical only, there is no systematic added.
135292_56063172	0	21/05/16	14:38:20.33	BRONZE	91.8213	+9.7002	30.80	12.00	1.0912e+02	2.8860e-01	3.0988	IceCube Bronze event. The position error is statistical only, there is no systematic added.
135270_69188496	0	21/05/10	04:50:10.73	BRONZE	267.9106	+4.0004	30.80	12.00	1.1303e+02	2.8151e-01	3.9437	IceCube Bronze event. The position error is statistical only, there is no systematic added.
135113_19489408	0	21/03/22	02:34:09.17	BRONZE	85.5066	-44.7217	39.13	14.09	5.4853e+01	4.5899e-01	1.3823	IceCube Bronze event. The position error is statistical only, there is no systematic added.
134994_1103075	0	21/02/13	18:40:24.51	GOLD	155.2582	-35.3994	71.40	22.94	1.4504e+03	6.0730e-01	0.4362	IceCube Gold event. The position error is statistical only, there is no systematic added.
134979_17138286	1	21/02/10	11:53:55.64	GOLD	206.0600	+4.7800	52.80	31.80	2.8741e+02	6.5464e-01	0.4645	IceCube Gold event. The position error is statistical only, there is no systematic added.
134979_17138286	0	21/02/10	11:53:55.64	GOLD	206.1922	+4.7734	30.80	12.00	2.8741e+02	6.5464e-01	0.4645	IceCube Gold event. The position error is statistical only, there is no systematic added.
134818_73718836	1	20/12/22	00:56:16.14	GOLD	206.3700	+13.4399	39.60	22.19	1.8578e+02	5.3370e-01	1.0081	IceCube Gold event. The position error is statistical only, there is no systematic added.
134818_73718836	0	20/12/22	00:56:16.14	GOLD	206.6403	+13.4825	30.80	12.00	1.8578e+02	5.3370e-01	1.0081	IceCube Gold event. The position error is statistical only, there is no systematic added.
134817_29175858	1	20/12/21	12:36:53.45	GOLD	261.6899	+41.8100	109.20	61.20	1.7454e+02	5.6429e-01	0.1472	IceCube Gold event. The position error is statistical only, there is no systematic added.
134817_29175858	0	20/12/21	12:36:53.45	GOLD	262.5451	+41.4062	62.12	24.20	1.7454e+02	5.6429e-01	0.1472	IceCube Gold event. The position error is statistical only, there is no systematic added.
134777_8912764	1	20/12/09	10:15:43.94	GOLD	6.8600	-9.2500	65.40	38.40	4.1860e+02	1.9226e-01	0.7698	IceCube Gold event. The position error is statistical only, there is no systematic added.
134777_8912764	0	20/12/09	10:15:43.94	GOLD	6.4010	-10.0181	35.26	13.73	4.1860e+02	1.9226e-01	0.7698	IceCube Gold event. The position error is statistical only, there is no systematic added.
134751_31476488	1	20/11/30	20:21:46.47	GOLD	30.5399	-12.0999	70.79	41.39	2.0347e+02	1.4696e-01	1.3222	IceCube Gold event. The position error is statistical only, there is no systematic added.
