# https://gcn.gsfc.nasa.gov/amon_hese_events.html
# note the Error is actually the 90% radius...
# I fixed by hand error of these sources in the footprint:
# 12296708_131624 (IC181014A)
# 9759013_132077  (IC190124A)
# 66688965_132229 (IC190221A)
# 15947448_132379 (IC190331A)
# FYI:
# 41485283_132628: retracted

EventNum_RunNum	Date		Time_UT	NoticeType	RA			Dec			Error	Signalness
41485283_132628	19/05/29	01:55:22.21	HESE	287.3190	+78.1432	534.00	0.53	
766165_132518	19/05/04	18:25:18.39	HESE	65.7866		-37.4431	73.79	0.63	
15947448_132379	19/03/31	06:55:43.44	HESE	355.6349	+71.1170	96.00	0.57	
66688965_132229	19/02/21	08:25:39.71	HESE	267.3650	-16.9379	25.19	0.37	
36142391_132143	19/02/05	21:21:10.50	HESE	128.6959	-53.3143	73.79	0.84	
9759013_132077	19/01/24	03:43:54.79	HESE	307.1920	-32.2914	25.19	0.91	
68269692_131999	19/01/04	08:34:38.23	HESE	359.3299	-25.3659	73.79	0.35	
66412090_131680	18/10/31	02:02:51.41	HESE	182.7920	-68.3884	73.79	0.87	
12296708_131624	18/10/14	11:52:19.07	HESE	225.1839	-34.7920	25.19	0.10	
71165249_130949	18/04/23	02:28:40.98	HESE	294.8820	+71.9530	534.00	0.34	
34032434_130171	17/10/28	08:28:14.81	HESE	275.0760	+34.5011	534.00	0.30	
56068624_130126	17/10/15	01:34:30.06	HESE	162.5790	-15.8611	73.79	0.51	
32674593_129474	17/05/06	12:36:55.80	HESE	221.6750	-26.0359	73.79	0.35	
65274589_129281	17/03/12	13:49:39.83	HESE	304.7300	-26.2380	73.79	0.78	
38561326_128672	16/11/03	09:07:31.12	HESE	40.8252		+12.5592	66.00	0.30	
38561326_128672	16/11/03	09:07:31.12	HESE	40.8740		+12.6159	73.79	0.30	
58537957_128340	16/08/14	21:45:54.00	HESE	199.3100	-32.0165	89.39	0.12	
6888376_128290	16/07/31	01:55:04.00	HESE	215.1090	-0.4581		73.79	0.91	
6888376_128290	16/07/31	01:55:04.00	HESE	214.5440	-0.3347		45.00	0.91	
67093193_127853	16/04/27	05:52:32.00	HESE	240.5683	+9.3417		35.99	0.92	
67093193_127853	16/04/27	05:52:32.00	HESE	239.6639	+6.8528		534.00	0.92	
67093193_127853	16/04/27	05:52:32.00	HESE	239.6639	+6.8528		534.00	-1.00	
67093193_127853	16/04/27	05:52:32.00	HESE	239.6639	+6.8528		534.00	-1.00	
