Event		RA		RA_plus	RA_min		Dec		Dec_plus Dec_min 
IC180908A	144.58	1.45	 1.55		-2.13	1.2	 	 0.9	
IC181014A	225.15	2.85	 1.4		-34.8	1.85	 1.15	
IC181023A	270.18	1.7	 	 2.0		-8.57	1.3	 	 1.25	
IC190124A	307.4	0.9	 	 0.8		-32.18	0.7	 	 0.7	
IC190221A	268.81	1.8	 	 1.2		-17.04	0.5	 	 1.3	
IC190331A	337.68	0.23	 0.34		-20.7	0.3	 	 0.48	
IC190704A	161.85	2.16	 4.33		27.11	1.81	 1.83	
IC190712A	76.46	5.09	 6.83		13.06	4.48	 3.44	
IC190819A	148.8	2.07	 3.24		1.38	1.0	 	 0.75	
IC190922A	167.43	3.4	 	 2.63		-22.39	2.88	 2.89	
IC191119A	230.1	4.76	 6.48		3.17	3.36	 2.09	
IC191122A	27.25	1.7	 	 2.9		-0.04	1.17	 1.49	
IC191204A	79.72	3.2	 	 1.74		2.8		1.12	 1.23	
IC191215A	285.87	2.88	 3.19		58.92	1.85	 2.25	
IC191231A	46.36	4.27	 3.47		20.42	2.11	 2.8	
IC200410A	242.58	14.05	 13.35		11.61	7.87	 6.21	
IC200421A	87.93	3.44	 2.83		8.23	2.09	 1.84	
IC200425A	100.1	4.67	 3.14		53.57	2.45	 1.6	
IC200523A	338.64	10.77	 6.07		1.75	1.84	 3.54	
IC200614A	33.84	4.77	 6.39		31.61	2.75	 2.28	
IC200615A	142.95	1.18	 1.45		3.66	1.19	 1.06	
IC200806A	157.25	1.21	 0.89		47.75	0.65	 0.64	
IC200911A	51.11	4.42	 11.01		38.11	2.35	 1.99	
IC200921A	195.29	2.35	 1.73		26.24	1.51	 1.77	
IC200926B	184.75	3.64	 1.55		32.93	1.15	 0.91	
IC201014A	221.22	1.0	 	 0.75		14.44	0.67	 0.46	
IC201114A	105.25	1.28	 1.12		6.05	0.95	 0.95	
IC201115A	195.12	1.27	 1.49		1.38	1.3	 	 1.11	
IC201120A	307.53	5.34	 5.59		40.77	4.97	 2.8	
IC201221A	261.69	2.29	 2.5		41.81	1.29	 1.2	
IC210516A	91.76	1.05	 0.97		9.52	0.5	 	 0.58	
IC190503A	120.28	0.57	 0.77		6.35	0.76	 0.7	
IC190619A	343.26	4.08	 2.63		10.73	1.51	 2.61	
IC190730A	225.79	1.28	 1.43		10.47	1.14	 0.89	
IC190922B	5.76	1.19	 1.37		-1.57	0.93	 0.82	
IC191001A	314.08	6.56	 2.26		12.94	1.5	 	 1.47	
IC200107A	148.18	2.2	 	 1.83		35.46	1.1	 	 1.22	
IC200109A	164.49	4.94	 4.19		11.87	1.16	 1.36	
IC200117A	116.24	0.71	 1.24		29.14	0.9	 	 0.78	
IC200512A	295.18	1.72	 2.26		15.79	1.26	 1.29	
IC200530A	255.37	2.48	 2.56		26.61	2.33	 3.28	
IC200620A	162.11	0.64	 0.95		11.95	0.63	 0.48	
IC200916A	109.78	1.08	 1.44		14.36	0.88	 0.85	
IC200926A	96.4	0.73	 0.55		-4.33	0.61	 0.76	
IC200929A	29.53	0.53	 0.53		3.47	0.71	 0.35	
IC201007A	265.17	0.52	 0.52		5.34	0.32	 0.23	
IC201021A	260.82	1.73	 1.68		14.55	1.35	 0.74	
IC201130A	30.54	1.13	 1.31		-12.1	1.15	 1.13	
IC201209A	6.86	1.02	 1.22		-9.25	0.99	 1.14	
IC201222A	206.37	0.9	 	 0.8		13.44	0.55	 0.38	
IC210210A	206.06	1.4	 	 0.95		4.78	0.62	 0.56	
IC210510A	268.42	1.47	 1.6		3.81	0.68	 0.64	



