qclass redshift N_pre N_post echo_duration_w1 pre_median_flux_w1 pre_median_e_flux_w1 pre_median_total_flux_w1 pre_rms_flux_w1 post_max_flux_w1 post_mean_flux_w1 post1yr_max_flux_w1 post1yr_mean_flux_w1 post1yr_sum_flux_w1 e_post_max_flux_w1 name chi2 sigma_rise sigma_fade e_sigma_rise e_sigma_fade n_rise n_fade mean_color color_slope e_mean_color e_color_slope ra dec ndetections ndetections_negative ndetections_g ndetections_r median_color offset_rms_r offset_unc_r offset_sig_r offset_med_r offset_weighted_r offset_rms_g offset_unc_g offset_sig_g offset_med_g offset_weighted_g offset_sig offset_rms_ps1 offset_med_ps1 offset_sig_ps1 flare_n_pre flare_n_post flare_peak_mag flare_peak_jd flare_amplitude_mag flare_duration_day flare_postpeak_duration_day flare_prepeak_duration_day fEdd Lbol MBH MBH_ref df_over_rms rms_over_err
Unknown nan 12 2 313.20593291008845 -9.183341080961445e-07 5.926741223980808e-06 0.0002716400171805961 1.5015231144267578e-05 7.133879095902279e-05 6.23259599279339e-05 7.133879095902279e-05 6.23259599279339e-05 0.0001246519198558678 7.505762070613779e-06 ZTF19aascwif 0.3068884150157744 249.10111996623814 358.56274628821126 20.898033678744063 45.09468924109043 141.0 280.0 -0.0819194322051435 -0.00038999396074646843 0.025524130859922736 0.000467786613748711 202.849756 65.5242443 456.0 0.0 257.0 164.0 0.0 0.4885612586982928 0.23893021910172857 0.45845876340717784 0.11933402697462114 0.10953965278998454 0.48899056222362647 0.2379915595141979 0.6694087599539992 0.16508463278759117 0.1593136347339176 0.6694087599539992 0.46598102025734894 0.15478872239034788 1.5478872239034787 17.0 362.0 19.7856 2458862.9706019 -1.3256000000000014 469.93170000007376 182.7850981000811 287.1466018999927 -1.0 8.652432030568099e+44 0.0 "" 4.150849183012965 2.533471696640454
AGN nan 12 2 276.99666565004736 -7.519880899579597e-06 8.795546688471075e-06 0.0003685350663533666 2.937179288478155e-05 0.00012644610261826783 0.00012138603959202887 0.00012644610261826783 0.00012138603959202887 0.00024277207918405773 9.357451515699751e-06 ZTF19aamurgd 1.7125222450777768 116.93037150639059 1202.7740574127038 20.672088148024578 200.55096832618386 55.0 107.0 0.22764640923579957 0.0003701146375655798 0.03126535138539865 0.00016650000382663262 216.3903006 19.4747479 174.0 0.0 70.0 92.0 0.0 0.21275167651078086 0.24041677478911494 0.9279398309571324 0.1985997189987758 0.22309230135707028 0.38640293760309113 0.24213856859244864 1.7586983235118963 0.38068872317417357 0.42584869464110975 0.9279398309571324 0.2853044295225621 0.25994962848114056 2.5994962848114054 76.0 93.0 19.2885 2458748.6293 -1.3956000000000017 666.1782500003465 478.42760000005364 187.7506500002928 -1.0 6.767485263031641e+44 0.0 "" 4.132741915626227 3.33939366421432
Unknown nan 11 3 474.606137780007 -9.526563009668108e-07 5.2584319930540185e-06 0.00017600253044527142 8.908698043276839e-06 0.0003773767327576054 0.0002922039331773155 0.0003773767327576054 0.00034363414276126873 0.0006872682855225375 6.141064961126756e-06 ZTF19aasnaqa 0.5946157286949066 2.2791588881454233e-07 234.47874354836117 6.493741584687061e-06 113.03382373820075 0.0 25.0 0.5561996499074173 0.002930540105602551 0.19874156802434198 0.004047281078150551 343.703083 77.3529595 31.0 0.0 9.0 22.0 0.0 0.4296918956503885 0.2699028715859589 1.3384736691950356 0.31463721961321434 0.3612578868579349 0.6449058663097962 0.3687758642983248 1.7219806845082444 0.4196123925554362 0.6350249152345488 1.3384736691950356 0.5506568335120323 0.5950452620559631 5.950452620559631 4.0 22.0 19.1983 2458607.9922454 -1.178799999999999 164.6875599999912 157.65905460016802 7.028505399823189 -1.0 1.9867578466118632e+45 0.0 "" 38.572880244897334 1.6941738630535754
Unknown nan 11 3 387.5249631800689 3.006462892761787e-06 8.34760373623902e-06 0.00040428597952966864 1.0659877644751557e-05 0.0005420930391580281 0.000433811679508422 0.0005420930391580281 0.0005226328962528448 0.0010452657925056896 1.0614299772686382e-05 ZTF19abqyosy 0.13891831679078212 122.43860194951256 362.9216964479535 977.3430801242189 885.6977522885851 10.0 9.0 0.05529401415118343 0.0004098419777997618 0.09785759984125768 0.00460534312886835 103.2408363 56.6949241 19.0 0.0 9.0 10.0 0.0 0.18880096519797585 0.1826933450000069 0.6155377650418953 0.0892453360009852 0.11245465326933216 0.22083211360766755 0.21894187163348466 0.9294840250081108 0.179616551588042 0.20350297208870044 0.6155377650418953 0.19771819135681476 0.188116190697962 1.88116190697962 9.0 8.0 19.7822 2458736.0155671 -0.31540000000000035 62.01698979968205 42.992232899647206 19.024756900034845 -1.0 1.3245782012212453e+45 0.0 "" 49.02803893909286 1.2769985233575933
Unknown nan 11 3 346.92872770968825 -9.340542898361268e-07 8.752424021434626e-06 0.0004755287860365571 2.7906790104572144e-05 0.00011270035049809543 9.117943581141208e-05 0.00011270035049809543 9.117943581141208e-05 0.00027353830743423625 9.390033978056986e-06 ZTF19accymmv 0.49610276893535027 5.531602652097256 0.0 2.0665916627532614 0.0 6.0 1.0 0.5514367018050683 0.0 0.19485382787742067 -999.0 85.4707351 55.6577962 6.0 0.0 2.0 4.0 0.0 0.2814119929541677 0.2728061753015987 0.7840961342135904 0.14176985576705883 0.21390626744357857 0.0 0.0 -999.0 0.0 0.0 0.7840961342135904 0.2319996832810084 0.05254816304036838 0.5254816304036838 3.0 3.0 19.854 2458765.88792 -0.6152000000000015 4.076499999966472 0.10007999977096915 3.9764200001955032 -1.0 1.0615947522759535e+45 0.0 "" 3.2672849679144425 3.1884641370469033
AGN nan 10 4 223.30728523479775 -2.7366439756175994e-06 8.369263170554312e-06 0.0004151775339369196 2.7280458024047044e-05 0.00021264902365205195 0.00011990135684007007 0.00021264902365205195 0.00018340985295726785 0.0003668197059145357 9.277328340416031e-06 ZTF19aabzvqy 2.3659855069969327 0.0 999999999.9999993 0.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0 259.3729602 7.9578732 15.0 0.0 1.0 14.0 0.0 0.2785064639059669 0.2446767214691927 0.9890375874349101 0.26990452312160634 0.2419944743033738 0.0 0.0 -999.0 0.0 0.0 0.9890375874349101 0.23944516144865863 0.17645171487462227 1.7645171487462226 2.0 12.0 19.1278 2458492.0644 -0.9116999999999997 18.01166999991983 18.006699999794364 0.004970000125467777 -1.0 4.398291608224613e+44 0.0 "" 6.723122199619839 3.2596009311821184
Unknown nan 10 4 519.7290225699544 3.352025102453741e-06 7.975581327948843e-06 0.00035401016635143825 1.266867257381699e-05 0.0004061896791489023 0.0002540866778219339 0.0004061896791489023 0.00024524133057567777 0.0007357239917270333 9.23049402695356e-06 ZTF19aamrekf 0.10194166565964821 6.512861218345267 54.7972337975958 4.137634033853394 10.869113662227857 3.0 14.0 -0.011060026586465205 0.004584848989766454 0.108563768330385 0.006894779786449528 267.7548263 14.9186276 17.0 0.0 9.0 8.0 0.0 0.08292873383715516 0.19815645797760634 0.7460923098929675 0.14012511545044573 0.14784300945272105 0.24811016583820564 0.22938776780837727 0.7036096494427077 0.1786648481707024 0.16139944689409755 0.7460923098929675 0.18486713074355238 0.0843453572130292 0.8434535721302919 3.0 13.0 19.1622 2458568.93713 -1.0061999999999998 53.97624999983236 44.02227000007406 9.953979999758303 -1.0 2.3824959699321603e+45 0.0 "" 19.358092108444804 1.5884324982584201
AGN 0.27 12 3 473.7205851501785 -2.402659398766413e-06 2.0235379103309663e-05 0.0027186506684026466 4.070975973506589e-05 0.0003814998386847099 0.00029655382399897264 0.0003070942416759911 0.0002540808166561041 0.0005081616333122082 2.2347570157580814e-05 ZTF19aazdsch 0.9794693503084153 56.36443033925807 110.88140911639766 4.783398763586624 9.198631541963826 30.0 40.0 -0.05168655296010129 0.002503838833122926 0.032605513075400334 0.0007972940015994844 358.7379645 0.705564 90.0 1.0 41.0 43.0 0.0 0.16617777359208333 0.15190468590533993 0.6515716540496698 0.10389103517566284 0.09897678745323789 0.2380393302944208 0.16176138476162966 1.3088260652209447 0.1787417219682675 0.21171751672225503 0.6515716540496698 0.21459547693563377 0.1728337465734777 1.7283374657347768 26.0 64.0 18.3711 2458709.9545 -1.643500000000003 577.7015999997966 514.6949000000022 63.006699999794364 0.011796215429107625 1.2271998919827751e+45 8.90322926079 L19 6.241275269361225 2.0118110724403215
Unknown nan 12 2 243.01099597010761 7.86542503906182e-06 1.0158965870927018e-05 0.0005288145230401464 4.4502077347637716e-05 0.001103220648855715 0.0009394509359380416 0.001103220648855715 0.0009394509359380416 0.0018789018718760831 1.5831170457269445e-05 ZTF20aanedfa 0.11510070983450467 0.0 65.93278683651708 0.0 78.30388885629324 0.0 7.0 0.0 0.0 0.0 0.0 108.2174398 20.345051 8.0 0.0 0.0 8.0 0.0 0.26388349544585166 0.20715818592585253 1.7637920744742632 0.35350542738669155 0.36538396649848454 0.0 0.0 -999.0 0.0 0.0 1.7637920744742632 0.22013159426902174 0.2351075359239983 2.351075359239983 1.0 7.0 19.7569 2458890.6725 -0.39899999999999736 13.016700000036508 13.016700000036508 0.0 -1.0 5.208708903565934e+44 0.0 "" 21.110271518322953 4.380571596858495
TDE? 0.096 12 2 182.06417272007093 -1.7010688770326038e-06 1.0129140093947435e-05 0.00045490117884467064 1.840164081614712e-05 0.0007171908562059956 0.0004500971403226292 0.0007171908562059956 0.0004500971403226292 0.0009001942806452584 1.3735217452634742e-05 ZTF20aabcemq 0.42140764077318577 16.034080161337258 71.54153814945082 2.1219439094290955 11.143852235654087 12.0 31.0 0.40376862251985945 0.0047910713758544275 0.04203360565254742 0.0028698906105153687 43.8321675 -11.4134547 53.0 0.0 18.0 35.0 0.0 0.20582423915801143 0.17750747139205153 1.1947465121261795 0.2184879712925208 0.21207643232199117 0.37319477273705254 0.2173911296358427 0.45504440946982505 0.15866364421866808 0.09892261820912022 1.1947465121261795 0.0 0.0 0.0 19.0 33.0 18.329 2458878.6441 -2.0172999999999988 350.06529999990016 322.089199999813 27.976100000087172 0.793790409405327 2.433918950028464e+44 6.372656912291252 V21 24.45961992300582 1.8167031599397894
