qclass redshift N_pre N_post echo_duration_w1 pre_median_flux_w1 pre_median_e_flux_w1 pre_median_total_flux_w1 pre_rms_flux_w1 post_max_flux_w1 post_mean_flux_w1 post1yr_max_flux_w1 post1yr_mean_flux_w1 post1yr_sum_flux_w1 e_post_max_flux_w1 name chi2 sigma_rise sigma_fade e_sigma_rise e_sigma_fade n_rise n_fade mean_color color_slope e_mean_color e_color_slope ra dec ndetections ndetections_negative ndetections_g ndetections_r median_color offset_rms_r offset_unc_r offset_sig_r offset_med_r offset_weighted_r offset_rms_g offset_unc_g offset_sig_g offset_med_g offset_weighted_g offset_sig offset_rms_ps1 offset_med_ps1 offset_sig_ps1 flare_n_pre flare_n_post flare_peak_mag flare_peak_jd flare_amplitude_mag flare_duration_day flare_postpeak_duration_day flare_prepeak_duration_day fEdd Lbol MBH MBH_ref df_over_rms rms_over_err
Unknown 0.459 11 2 52.90174925979227 -1.8757077894382327e-05 7.963874989428719e-06 0.0002786484862715229 5.253841347276343e-05 0.00017186833442581204 0.00016165374743621415 0.00017186833442581204 0.00016165374743621415 0.0003233074948724283 9.16377851184703e-06 ZTF18acaopar 0.7512625148155037 430.300896765371 243.89105488651958 22.951484769038757 17.571387788534746 339.0 189.0 0.5052841241996644 -0.0001516458194431401 0.02666081094281576 0.00012419050394096216 133.6907444 46.1046368 614.0 0.0 168.0 442.0 0.0 0.2671497358427867 0.2425691027315722 0.7772020625266579 0.1724460124326615 0.18852520694821867 0.4013494151740536 0.24245168095932026 0.8442533516303466 0.1889070628404043 0.20469064425831762 0.8442533516303466 0.2952749662378565 0.057820498157038124 0.5782049815703812 414.0 214.0 19.1461 2458885.6842 -1.7373000000000012 836.8177000000142 342.1423999997787 494.67530000023544 -1.0 1.1595986948272647e+43 0.0 "" 3.076867700240272 6.597091684952757
Unknown 0.0999 11 2 0.0 -5.006060251403306e-06 1.2014650215266144e-05 0.0008250797473408158 1.2183103094528426e-05 5.546831317817071e-06 -5.899794572878507e-06 5.546831317817071e-06 -5.899794572878507e-06 -1.1799589145757014e-05 1.2353557238531965e-05 ZTF19acysuyx 0.4215395468694804 8.268423519429925 27.216455951749804 4.274187447144049 6.473132433104124 3.0 63.0 0.0 0.0 0.0 0.0 124.2608613 12.286823 67.0 0.0 1.0 66.0 0.0 0.3277679172746147 0.1547785204736109 0.11493997969162373 0.011466437985008088 0.017790239999936404 0.0 0.0 -999.0 0.0 0.0 0.11493997969162373 0.3399632730124708 0.09645273425390499 0.9645273425390499 3.0 63.0 19.1505 2458835.921 -0.9140999999999977 24.03759999992326 16.994699999690056 7.042900000233203 0.0 0.0 7.432086179882136 T13 -0.48426041601241754 1.0140206228432886
Unknown nan 10 4 0.0 -4.289160982140865e-06 7.422918822355699e-06 0.0003653263102663864 2.505343069142645e-05 6.450250510832705e-05 5.432839664126338e-05 6.344355381577034e-05 5.3957495451161094e-05 0.00010791499090232219 8.038031641402433e-06 ZTF18acvgrbe 1.1275946054111827 70.04896864123563 155.55599736263008 4.322791242212602 28.87286108865516 124.0 46.0 -0.23245038411475272 0.0009226481814197443 0.028134395607347505 0.0011409237830451741 180.5497583 52.1739027 198.0 0.0 120.0 78.0 0.0 0.2601584577951068 0.2117479104973647 0.15814352150300912 0.040781819483322795 0.033486560236957244 0.33871097129683925 0.25244118839840696 1.4889256362964765 0.3793860302499598 0.37586615706353677 0.15814352150300912 0.26749549621111235 0.2071783736461729 2.071783736461729 89.0 98.0 19.3738 2458591.9144 -1.6270000000000024 1206.7180499997921 399.79759999969974 806.9204500000924 -1.0 0.0 0.0 "" 2.1536968775148995 3.375145450327803
TDE? 0.0777 12 2 0.0 2.424828633610276e-06 1.474648071270459e-05 0.0016167642966010709 1.69919097526593e-05 2.202710205324921e-05 -1.991997735343269e-05 2.202710205324921e-05 -1.991997735343269e-05 -3.983995470686538e-05 1.5749468192589025e-05 ZTF19acxyucs 0.9631832811151994 0.3973114502738146 15.187860670819015 1.9672508823511499 1.3971487876070103 4.0 13.0 -0.06324634887085132 0.051856343611895526 0.140544863130102 0.013083853872774595 196.1628281 15.354778 17.0 0.0 10.0 7.0 0.0 0.1761089879743438 0.13675598907038114 3.1359676361023436 0.48370390943112923 0.42886235576788106 0.36319605699973834 0.1882230378620421 1.6342177138685523 0.39398957394392653 0.3075974226323004 3.1359676361023436 0.3011924342079251 0.2901540773656387 2.9015407736563867 8.0 9.0 18.2604 2458834.0451 -1.7657999999999987 21.992300000041723 16.99459999985993 4.997700000181794 0.0 0.0 7.592308019103402 T13 -1.1723212777960483 1.1522688079753292
AGN 0.0726 9 5 0.0 -2.2132325304672557e-05 1.1848065801484398e-05 0.002127205747858578 0.00016407581825745603 6.698642032111872e-05 -1.5515013976457666e-05 3.143075716903236e-05 -1.9401669582759956e-07 -3.8803339165519913e-07 1.3662593382991107e-05 ZTF18aaiyzuz 4.799611733209572 999999999.9999993 10.809349891249383 0.0 0.0 40.0 17.0 0.06648448247683278 -0.05020542121599994 -999.0 -999.0 234.6281739 44.6773931 133.0 21.0 120.0 11.0 0.0 0.5086392708761641 0.19749622723149923 0.4833244380267239 0.4218146284532105 0.09545475303906253 0.31807875595872204 0.1555737201457881 1.3637579045229773 0.2289312010022764 0.2121648905848641 1.3637579045229773 0.3196272159564929 0.10497719379288363 1.0497719379288362 39.0 94.0 19.014 2458263.8625 -1.5038000000000018 658.183283300139 618.1462000003085 40.037083299830556 0.0 0.0 7.35800524694 L19 -0.0011824819640586064 13.848320983911114
Unknown nan 12 2 0.0 8.95156896543749e-06 9.59059584205305e-06 0.0004126499991860938 5.080838962391617e-05 8.69549254927197e-05 7.260803549030828e-05 8.69549254927197e-05 7.260803549030828e-05 0.00014521607098061655 1.0617551187233976e-05 ZTF19acynvns 0.5724535727823711 54.187840559326 498.04904464298284 22.776031206652963 123.73449874043484 11.0 26.0 -0.2848980251981722 -4.398322345476094e-05 0.1040097845763429 0.000823356299926199 31.5820239 6.6015319 37.0 0.0 31.0 6.0 0.0 0.20415143276578027 0.22781668927589843 1.272797330295153 0.26647448283305014 0.28996447390704394 0.2712924220046567 0.2124476180144178 1.3508066052009347 0.32413857036964655 0.28697564567308065 1.3508066052009347 0.2466197937485313 0.26511290940971466 2.6511290940971466 11.0 26.0 19.3774 2458885.6206 -1.1159 390.0030999998562 338.028599999845 51.974500000011176 -1.0 0.0 0.0 "" 1.4290560284975207 5.297730241235946
AGN 0.214 13 2 0.0 -1.491278293006526e-05 1.768842930653744e-05 0.002129377442315888 0.00014093925370256002 0.00017419560135358488 0.00013476276512900217 0.00017419560135358488 0.00013476276512900217 0.00026952553025800434 1.910446528935115e-05 ZTF19aayrjsx 1.8108691193969584 102.58345199184463 79.06453375870277 11.336137812430703 20.9345839272316 51.0 12.0 -0.052300486932529464 -0.0006498630541368551 0.0566612472567371 0.0008356859812851938 353.227075 15.2181895 72.0 13.0 48.0 24.0 0.0 0.2104485352719646 0.15803799036940458 1.6102346247937824 0.24416295052542356 0.2544782441256416 0.2271659209342157 0.1816181708970773 1.2024012835769882 0.19015788169293318 0.21837792180755053 1.6102346247937824 0.2630917257105863 0.2420138925486077 2.420138925486077 44.0 25.0 18.583 2458881.6316 -1.9090000000000025 475.822400000412 236.13610000023618 239.68630000017583 0.0 0.0 8.99217359286 L19 0.9561762361350885 7.967878394407269
AGN 0.177 12 2 0.0 -2.4338006835227513e-05 1.3289116060904584e-05 0.001916408323227433 0.0001326805431028337 0.00020957726850966523 0.00015744390024164547 0.00020957726850966523 0.00015744390024164547 0.00031488780048329095 1.4318086124463034e-05 ZTF18aargnvv 1.4129757417216475 662.376990447045 999999999.9999993 0.0 0.0 276.0 3.0 -0.2967895053923933 -0.00012752329906102534 -999.0 -999.0 196.1514962 53.612972 297.0 0.0 227.0 52.0 0.0 0.37200478802028425 0.14927727782617356 2.3236652408853815 0.3170300812862777 0.3468704217386696 0.3942019078591476 0.16801238049620038 1.4408831010483303 0.18180320788644885 0.2420861998238772 2.3236652408853815 0.4256634888499486 0.3378098225965945 3.3780982259659447 256.0 39.0 19.2462 2458913.7844 -1.2552999999999983 798.9194000000134 130.92400000011548 667.9953999998979 0.0 0.0 8.22071188008 L19 1.1866389491609104 9.984151127490582
Unknown nan 7 2 0.0 1.4739758688812889e-05 3.285168443815653e-05 0.0006925563554524611 9.111951251373419e-05 0.0001301342316099303 0.00011470391364572956 0.0001301342316099303 0.0001301342316099303 0.0001301342316099303 1.4420104954389954e-05 ZTF19abgeywb 0.4664631625079055 107.25522455908529 199.38723787044879 24.890784636767027 135.51471770977128 48.0 19.0 0.12146513421805284 -0.0007508011384142048 0.055950208164591266 0.001671628730313786 349.0778303 5.8503818 90.0 0.0 41.0 42.0 0.0 0.23638453686371474 0.21279752254196943 1.3173868960585364 0.3388663382440231 0.2803366677105115 0.23873140232199064 0.25306854091332653 0.785309254022402 0.1618911635069337 0.1987370670811822 1.3173868960585364 0.25729827791117904 0.20890167516867406 2.0890167516867404 50.0 37.0 19.3557 2458757.8421 -1.5625 531.7387999999337 442.76780000003055 88.97099999990314 -1.0 0.0 0.0 "" 1.4281708496883754 2.7736633317925343
Unknown nan 11 3 0.0 -1.298254661151579e-05 1.647982480145357e-05 0.00167452559512385 8.982655659330795e-05 0.0002235283192459691 0.0001354199734332239 0.0002235283192459691 0.0001841421386651642 0.0003682842773303284 1.855956896365561e-05 ZTF19abgmmfu 0.5868432368359574 93.98407240788877 62.784064000417125 76.09620478600853 66.6562285267591 13.0 4.0 0.061869641403832804 0.0004979650433437126 0.10481154283303375 0.00827396458143767 342.8474014 -4.8843632 21.0 0.0 9.0 12.0 0.0 0.17917501381685522 0.15729151289598278 0.44546038413907796 0.03897737806491 0.07006713775646123 0.21254307045906454 0.188087318632016 0.5859540699881457 0.18754652529561067 0.11021052986558696 0.44546038413907796 0.20803778806987358 0.09412717537608017 0.9412717537608017 14.0 6.0 19.5786 2458728.7995 -0.7249999999999979 377.9368000002578 329.0981999998912 48.83860000036657 -1.0 0.0 0.0 "" 2.0499743689260237 5.450698516247877
